review,rating
"Barang sampai dengan aman, sesuai dengan yg dipesan, bahan rada tipis emang tapi adem dan halus thanks seller and kurir",5
"Warna:putih ijo
Desain:bagus
Bahan:tebal

Sorry baru review baru keluar dari rawat inap pulang langsung coba asli bagus bahannya tebal ga mengecewakan impian banget ada tulisan 1997 nya thanks",5
"Warna:sangat bagus dan sesuai dengan gambar
Desain:terlihat keren dan modern
Kenyamanan:bahan sangat nyaman saat di pakai

Baik",5
"Ketebalan:tebal
Desain:sangat menarik
Warna:sangat bagus

Bagus banget… bahan juga tebal, jahitan rapi",5
"Warna:bagus
Desain:keren dan soft
Bahan:kayak premium",5
"Desain:menarik Dengan detail yg apik
Warna:sangat menarik dan sesuai gambar
Bahan:baju dengan ketebalan yg memberikan kenyamanan",5
"udah jadi langganan, top markotop",5
"Desain:sangat bagus
Warna:hitam
Bahan:tebal",5
"Desain:bagus
Bahan:halus
Warna:elegan

Biar bintang yg bicara",5
"Desain:sangat bagus dan seperti retro
Warna:sangat bagus dan perpaduan hitam dan cream sangat cocok
Bahan:sangat nyaman dan lembut

Sangat cocok untuk di pakai jalan jalan dan nongkrong",5
"Kualitas:sangat bagus
Pas untuk Acara:nyantai
Kenyamanan:terbaik",5
"bagusss banget, sesuai ekspektasi",5
"Kenyamanan:cuttingannya pas
Pas untuk Acara:formal non formal oke
Kualitas:oke

Pas di pake Kane abis",5
Recommended buat yg nyari bahan kaos tebal tpi adem gak bikin gerah,5
"Desain:bagus

Baguus bajunya, pengiriman juga cepat",5
"Warna:keren
Desain:keren
Kenyamanan:bagus

nice min barangnya thanks buat bonusnya tapi stiker gk ada lo min",5
"Desain:keren
Warna:hitam, L
Bahan:tidak terlalu tebal tidak tipis juga pokoknya nyaman di pake

Next order lagi",5
"Desain:bagus
Warna:semuanya bagus
Kenyamanan:nyaman ga tebal ga tipis",5
"Kenyamanan:nyaman
Kualitas:mantap
Styling:gacor",5
"Mantap, barang sesuai ekspektasi",5
"Desain:ok
Warna:hitam
Kualitas Bahan:ok",5
"Warna:bagus bet sesuai gambar
Ketebalan:agak tipis tapi nyaman dipakai
Desain:menarik",5
"Kualitas Bahan:Tebal,halus
Desain:Good
Warna:Real pict

Mantap banget pak barangnya! 
Bintang 5",5
"Bagus pokoknya, the best lah",5
"Warna:Cream
Desain:Oke
Bahan:Good

Maaf tidak sesuai gambar ,karena di kirim ke pondok Adik ,semoga Adik suka ,next time akan repeat order kembali ,Thank you Kak",5
"Desain:menarik
Warna:menarik
Bahan:bagus",5
"Desain:bagus
Ukuran:pas",5
"Desain:Keren
Kualitas:bagus
Kenyamanan:nyaman",5
"Kenyamanan:oke

Bagus banget keren. worth it di beli .udah sering beli di toko ini",5
"Warna:coksu
Bahan:bagus dan lembut",5
"Kualitas Bahan:tebal
Warna:coklat
Desain:rapi

Kainnya tebal dan sesuai kualitas harga, tidak mengecewakan dan sesuai pict. Jadi jangan ragu beli di sini. Saya sudah beberapa kali beli di sini krna emang bagus barangnya. Terimakasih.",5
"Desain:keren
Warna:bagus
Bahan:nyaman",5
"Kualitas Bahan:bagus
Desain:menarik
Warna:sesuai gambar

Kualitas bagus bahan nya tebal warna sesuai yang dipesan",5
"Desain:bagus
Kualitas Bahan:tebal
Kenyamanan:nyaman

Kualitas bagus bahan nya tebal warna sesuai yang dipesan",5
Bagus. Sesuai. The best.,5
"mantap, barang nya bagus tpi ada kotor dikit",5
"Desain:bagus pas di badan
Warna:putih bersih tanpa noda
Bahan:nyaman
Kaos nya bagus, instan banget pengirimannya dalam waktu kurang lebih 30 menit sdh sampai, adminnya baik mau tukar size dikasi dong.. suksma nggih seller, kaos nya pas dan nyaman dipakai, adem bahan nya..",5
"Kualitas Bahan:enak dipake
Desain:keren
Kualitas:mantap

terimakasih untuk kakak",5
"Warna:hitam putih
Desain:keren dan modelnya bagus
Kenyamanan:nyaman, enak

terimakasih untuk kakak",5
